,Event_w_sport_sex
0, Basketball
1, Extra-Lightweight
2, Football
3, Tug-Of-War
4, 500 metres
5," 1,000 metres"
11, 50 kilometres
13, 4 x 10 kilometres Relay
15, 30 kilometres
26, 100 metres
27, 4 x 100 metres Relay
28, Ice Hockey
29, 400 metres Freestyle
31, Singles
32, Windsurfer
34, 7.5 kilometres Sprint
35, 200 metres Breaststroke
41, Individual All-Around
42, Team All-Around
43, Floor Exercise
44, Horse Vault
45, Parallel Bars
46, Horizontal Bar
47, Rings
48, Pommelled Horse
57, Shot Put
59, Downhill
60, Super G
61, Giant Slalom
62, Slalom
67, Combined
79, Handball
80, Super-Heavyweight
81," Light-Heavyweight, Greco-Roman"
84," 1,500 metres"
88, Water Polo
89, Three Person Keelboat
91, Hockey
92, Lightweight Double Sculls
94, Pole Vault
95, High Jump
96, Two Person Dinghy
99, Four
100, 100 metres Butterfly
101, 200 metres Butterfly
102, 4 x 100 metres Medley Relay
107," Foil, Individual"
108," epee, Individual"
109," epee, Team"
112," 5,000 metres"
115," 10,000 metres"
117, 8 metres
118," Jumping, Individual"
121, 15 kilometres
124," Small-Bore Rifle, Prone, 50 metres"
125," Rapid-Fire Pistol, 25 metres"
127, Trap
131, Long Jump
134, Light-Welterweight
135, Javelin Throw
137," Heavyweight, Freestyle"
146, Flyweight
147, Heavyweight
149," Road Race, Individual"
150," Road Race, Team"
154, Lightweight
155, Middleweight
158, Coxless Pairs
160, Half-Middleweight
168, Platform
169," Canadian Doubles, 500 metres"
170," Canadian Doubles, 1,000 metres"
171," Kayak Fours, 1,000 metres"
181, Featherweight
184, Doubles
185, Skeet
186," Featherweight, Freestyle"
187, Two Person Heavyweight Dinghy
194, Coxed Eights
195, Sprint
197, 110 metres Hurdles
202, Marathon
206," Foil, Team"
207," Sabre, Team"
209, 100 metres Freestyle
210, 4 x 200 metres Freestyle Relay
214, Individual
216, Welterweight
218, Quadruple Sculls
219, Double Sculls
221, Coxed Pairs
229, 400 metres Hurdles
232, 400 metres
233, Hammer Throw
241, 800 metres
256, Single Sculls
258, 50 metres Freestyle
271," Three-Day Event, Individual"
272," Three-Day Event, Team"
290," Heavyweight, Greco-Roman"
291, Volleyball
295, Duet
296, Team
313, 4 x 400 metres Relay
319," Air Rifle, 10 metres"
327, 200 metres
349, 100 metres Backstroke
354, Light-Heavyweight
357," Lightweight, Greco-Roman"
371," Sabre, Individual"
384," Super-Heavyweight, Greco-Roman"
385," Free Pistol, 50 metres"
386," Air Pistol, 10 metres"
390, Coxless Fours
391, Light-Flyweight
405," Flyweight, Greco-Roman"
428, Middle-Heavyweight
449," Welterweight, Greco-Roman"
450," Middleweight, Greco-Roman"
453," 3,000 metres Steeplechase"
471," Middleweight, Freestyle"
475, 200 metres Backstroke
481," Light-Heavyweight, Freestyle"
491, Bantamweight
520," Small-Bore Rifle, Three Positions, 50 metres"
529, Triple Jump
552, 200 metres Freestyle
553, 4 x 100 metres Freestyle Relay
568, 200 metres Individual Medley
575, 400 metres Individual Medley
580, Light-Middleweight
584," Bantamweight, Freestyle"
590," Flyweight, Freestyle"
603, Discus Throw
626, Two
630," Lightweight, Freestyle"
643, Baseball
646, Coxed Fours
657, 100 kilometres Team Time Trial
667, Group
680, Uneven Bars
681, Balance Beam
682, Springboard
684, Synchronized Springboard
703, Decathlon
714, 10 kilometres Sprint
715, 20 kilometres
716, 4 x 7.5 kilometres Relay
726, Moguls
750," Sporting Pistol, 25 metres"
753," Kayak Doubles, 500 metres"
754," Kayak Singles, 500 metres"
756," Kayak Singles, 1,000 metres"
766, Half-Heavyweight
778, Pairs
782, Aerials
815, 5 kilometres
816, 10 kilometres
823," 1,000 metres Time Trial"
824," Individual Pursuit, 4,000 metres"
827," Welterweight, Freestyle"
835," Bantamweight, Greco-Roman"
959," Kayak Singles, Slalom"
1016, Beach Volleyball
1028," Mountainbike, Cross-Country"
1033, Olympic Distance
1174," Featherweight, Greco-Roman"
1210, 3 x 5 kilometres Relay
1222, Open Class
1250, Pentathlon
1268," Team Pursuit, 4,000 metres"
1284," 1,500 metres Freestyle"
1304," Jumping, Team"
1326," Normal Hill, Individual"
1330," Kayak Fours, 500 metres"
1337, One Person Dinghy
1366, Curling
1415, Half-Lightweight
1450, Standing High Jump
1451, Standing Long Jump
1453, 20 kilometres Walk
1469," Free Rifle, Three Positions, 300 metres"
1482, 50 kilometres Walk
1489, 6 metres
1496, 100 metres Hurdles
1574, Two Person Keelboat
1622," Light-Flyweight, Freestyle"
1712," Canadian Doubles, Slalom"
1751," Dressage, Individual"
1773, 800 metres Freestyle
1834," Free Rifle, Three Positions, 300 metres, Team"
1893," Tandem Sprint, 2,000 metres"
1917, Heptathlon
1918, Points Race
1923," Dressage, Team"
1952, 18 kilometres
2003, 100 metres Breaststroke
2013, Ice Dancing
2206, Lightweight Coxless Fours
2244," Light-Flyweight, Greco-Roman"
2258," Canadian Singles, 1,000 metres"
2262, 5.5 metres
2307, Synchronized Platform
2320, Halfpipe
2505, Heavyweight I
2550," Large Hill, Individual"
2551," Large Hill, Team"
2629, 10 kilometres Walk
2642, 80 metres Hurdles
2793, Heavyweight II
2848," 5,000 metres Relay"
2883, Individual Time Trial
2900," Kayak Doubles, 1,000 metres"
2925," Super-Heavyweight, Freestyle"
3165, Double Trap
3837, Skeleton
4037," Canadian Singles, Slalom"
4116, (Men)'s Doubles
4127, Multihull
4132," 3,000 metres"
4136, 4 x 5 kilometres Relay
4821, Rope Climbing
4880," 3,000 metres Relay"
5043, Polo
6474," Canadian Singles, 500 metres"
9471," Individual Pursuit, 3,000 metres"
9712, Keirin
9713, Team Sprint
